Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"measurementtype"="raw"
"command"="run"
"workload"="core"
"scanproportion"="0"
"threadcount"="8"
"dotransactions"="true"
"insertproportion"="0"
"readproportion"="0.5"
"operationcount"="50000"
"requestdistribution"="uniform"
"docollectingdata"="false"
"etcd.dial_timeout"="10s"
"updateproportion"="0.5"
"etcd.endpoints"="192.168.37.15:2379"
"recordcount"="100000"
"readallfields"="true"
**********************************************
**********************************************
Run finished, takes 9m10.150120668s
operation,timestamp_us,latency_us
READ,1716265697337970,112408
READ,1716265697334591,115846
READ,1716265697337877,112565
READ,1716265697391618,117864
READ,1716265697394000,115523
READ,1716265697509496,60061
READ,1716265697512486,115941
READ,1716265697510373,118073
READ,1716265697510323,118214
READ,1716265697510386,118179
READ,1716265697569568,117801
READ,1716265697569501,117931
READ,1716265697631439,114640
READ,1716265697628547,117544
READ,1716265697629471,116623
READ,1716265697628576,117557
READ,1716265697688150,116579
READ,1716265697688165,116626
READ,1716265697687444,117377
READ,1716265697747001,116581
READ,1716265697746147,117567
READ,1716265697746105,117612
READ,1716265697804833,117272
READ,1716265697804802,117310
READ,1716265697806440,115677
READ,1716265697805740,116571
READ,1716265697863595,117483
READ,1716265697923247,116677
READ,1716265697924257,115703
READ,1716265697922128,117863
READ,1716265697982668,116220
READ,1716265697981852,117067
READ,1716265697981775,117188
READ,1716265697981883,117276
READ,1716265698039971,117852
READ,1716265698098973,117509
READ,1716265698098899,117689
READ,1716265698099528,117093
READ,1716265698159526,115748
READ,1716265698157836,117448
READ,1716265698216598,117362
READ,1716265698218662,115374
READ,1716265698218566,115486
READ,1716265698218630,115441
READ,1716265698276049,116587
READ,1716265698275296,117434
READ,1716265698275287,117448
READ,1716265698275942,116808
READ,1716265698334048,117412
READ,1716265698333971,117577
READ,1716265698392746,117417
READ,1716265698392741,117520
READ,1716265698451978,116962
READ,1716265698512565,115124
READ,1716265698510265,117545
READ,1716265698510171,117642
READ,1716265698511651,116238
READ,1716265698510950,116963
READ,1716265698512107,115817
READ,1716265698570857,115785
READ,1716265698568952,117733
READ,1716265698627901,117653
READ,1716265698627932,117641
READ,1716265698627701,117891
READ,1716265698686697,117520
READ,1716265698686654,117585
READ,1716265698745604,117327
READ,1716265698745585,117362
READ,1716265698747142,115805
READ,1716265698862958,59924
READ,1716265698862944,118961
READ,1716265698862961,118955
READ,1716265698922896,117778
READ,1716265698925381,115297
READ,1716265698983546,115766
READ,1716265698982755,116568
READ,1716265698983284,116043
READ,1716265698981918,117535
READ,1716265698981931,117530
READ,1716265699099339,59738
READ,1716265699099336,59757
READ,1716265699103631,114242
READ,1716265699100417,117458
READ,1716265699100446,117444
READ,1716265699099470,118517
READ,1716265699159153,117439
READ,1716265699159105,117508
READ,1716265699159087,117526
READ,1716265699217887,117624
READ,1716265699217998,117559
READ,1716265699217886,117684
READ,1716265699276625,117646
READ,1716265699276622,117826
READ,1716265699335570,117600
READ,1716265699335997,117200
READ,1716265699396194,115812
READ,1716265699394459,117712
READ,1716265699396408,115765
READ,1716265699454460,116267
READ,1716265699454605,116124
READ,1716265699512184,117347
READ,1716265699512735,116828
READ,1716265699512988,116575
READ,1716265699512019,117545
READ,1716265699512185,117549
READ,1716265699629578,60270
READ,1716265699629748,120908
READ,1716265699630257,120925
READ,1716265699696904,110370
READ,1716265699689859,117488
READ,1716265699689791,117582
READ,1716265699689934,117459
READ,1716265699750674,115475
READ,1716265699820224,104692
READ,1716265699807287,117701
READ,1716265699807386,117606
READ,1716265699879506,104222
READ,1716265699866647,117160
READ,1716265699926432,116017
READ,1716265699924930,117585
READ,1716265699938761,103769
READ,1716265699925005,117543
READ,1716265699983821,117764
READ,1716265700042560,117568
READ,1716265700043043,117178
READ,1716265700042524,117706
READ,1716265700101962,116750
READ,1716265700103778,114934
READ,1716265700160140,117292
READ,1716265700161606,115869
READ,1716265700218725,117556
READ,1716265700218723,117593
READ,1716265700219907,116425
READ,1716265700279989,115342
READ,1716265700279678,115668
READ,1716265700277447,117915
READ,1716265700277489,117910
READ,1716265700341799,112340
READ,1716265700336343,117811
