Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.14:2379"
"insertproportion"="0"
"readallfields"="true"
"threadcount"="8"
"dotransactions"="true"
"operationcount"="50000"
"readproportion"="0.5"
"recordcount"="100000"
"measurementtype"="raw"
"docollectingdata"="false"
"command"="run"
"workload"="core"
"etcd.dial_timeout"="10s"
"requestdistribution"="uniform"
"scanproportion"="0"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 3m30.714394972s
operation,timestamp_us,latency_us
TOTAL,1716265691128617,42848
TOTAL,1716265691148799,23173
TOTAL,1716265691150134,23046
TOTAL,1716265691150327,23150
TOTAL,1716265691151749,23103
TOTAL,1716265691150098,43747
TOTAL,1716265691148776,45141
TOTAL,1716265691171197,23464
TOTAL,1716265691173214,23048
TOTAL,1716265691173484,42670
TOTAL,1716265691171986,44259
TOTAL,1716265691174868,41383
TOTAL,1716265691171472,44836
TOTAL,1716265691193933,23274
TOTAL,1716265691193861,23351
TOTAL,1716265691196273,23139
TOTAL,1716265691194671,43791
TOTAL,1716265691216270,24033
TOTAL,1716265691217231,23235
TOTAL,1716265691219428,23139
TOTAL,1716265691217234,43793
TOTAL,1716265691216323,44740
TOTAL,1716265691216261,44841
TOTAL,1716265691216164,45006
TOTAL,1716265691238482,23092
TOTAL,1716265691240317,42913
TOTAL,1716265691242597,40635
TOTAL,1716265691240477,42764
TOTAL,1716265691261081,23296
TOTAL,1716265691261190,23242
TOTAL,1716265691261123,23390
TOTAL,1716265691261590,22993
TOTAL,1716265691261039,44681
TOTAL,1716265691283253,23212
TOTAL,1716265691283252,23672
TOTAL,1716265691283265,23687
TOTAL,1716265691284400,22991
TOTAL,1716265691284456,23342
TOTAL,1716265691284536,23268
TOTAL,1716265691284596,43570
TOTAL,1716265691306940,23145
TOTAL,1716265691307824,23255
TOTAL,1716265691307817,23272
TOTAL,1716265691307400,43327
TOTAL,1716265691305732,45038
TOTAL,1716265691306479,44303
TOTAL,1716265691306962,43851
TOTAL,1716265691330104,23522
TOTAL,1716265691331105,23249
TOTAL,1716265691331097,23428
TOTAL,1716265691328190,44951
TOTAL,1716265691350746,23299
TOTAL,1716265691350789,23392
TOTAL,1716265691350836,23410
TOTAL,1716265691350802,23737
TOTAL,1716265691353647,23019
TOTAL,1716265691354371,27139
TOTAL,1716265691354542,26977
TOTAL,1716265691373173,23440
TOTAL,1716265691374073,23670
TOTAL,1716265691374196,23616
TOTAL,1716265691396633,23212
TOTAL,1716265691381531,38779
TOTAL,1716265691374550,45830
TOTAL,1716265691376678,43757
TOTAL,1716265691381524,38943
TOTAL,1716265691374265,46219
TOTAL,1716265691397774,23108
TOTAL,1716265691397828,45008
TOTAL,1716265691419880,23226
TOTAL,1716265691420506,23115
TOTAL,1716265691420453,23183
TOTAL,1716265691420491,23237
TOTAL,1716265691420322,45157
TOTAL,1716265691420898,44701
TOTAL,1716265691420392,45305
TOTAL,1716265691443639,23169
TOTAL,1716265691443744,23221
TOTAL,1716265691442851,44931
TOTAL,1716265691443115,44726
