Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"workload"="core"
"readallfields"="true"
"threadcount"="8"
"command"="run"
"insertproportion"="0"
"etcd.dial_timeout"="10s"
"scanproportion"="0"
"readproportion"="0.5"
"dotransactions"="true"
"operationcount"="50000"
"measurementtype"="raw"
"docollectingdata"="false"
"recordcount"="100000"
"etcd.endpoints"="192.168.37.16:2379"
"requestdistribution"="uniform"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 5m45.449650183s
operation,timestamp_us,latency_us
UPDATE,1716265694698353,37393
UPDATE,1716265694698361,37607
UPDATE,1716265694734073,37497
UPDATE,1716265694734009,37607
UPDATE,1716265694734028,37635
UPDATE,1716265694734077,37610
UPDATE,1716265694770781,37448
UPDATE,1716265694771593,37404
UPDATE,1716265694771707,37683
UPDATE,1716265694771684,37750
UPDATE,1716265694807557,37898
UPDATE,1716265694809016,37467
UPDATE,1716265694809448,37454
UPDATE,1716265694844237,37711
UPDATE,1716265694845474,37309
UPDATE,1716265694846501,37399
UPDATE,1716265694846921,37442
UPDATE,1716265694880957,37755
UPDATE,1716265694956026,37554
UPDATE,1716265695029552,37344
UPDATE,1716265695029631,37731
UPDATE,1716265695029594,37790
UPDATE,1716265695066248,37576
UPDATE,1716265695066239,37800
UPDATE,1716265695066372,37709
UPDATE,1716265695067380,37478
UPDATE,1716265695102932,37512
UPDATE,1716265695104870,37445
UPDATE,1716265695139779,37350
UPDATE,1716265695142329,37307
UPDATE,1716265695176471,37474
UPDATE,1716265695176478,37665
UPDATE,1716265695176596,37761
UPDATE,1716265695179655,37717
UPDATE,1716265695213275,37626
UPDATE,1716265695213377,38136
UPDATE,1716265695213963,37581
UPDATE,1716265695214370,37321
UPDATE,1716265695217385,37846
UPDATE,1716265695250078,37577
UPDATE,1716265695250918,37359
UPDATE,1716265695255250,37586
UPDATE,1716265695287679,37569
UPDATE,1716265695288291,37293
UPDATE,1716265695292847,37589
UPDATE,1716265695323632,37208
UPDATE,1716265695325600,37364
UPDATE,1716265695359984,37312
UPDATE,1716265695362975,37328
UPDATE,1716265695396666,37435
UPDATE,1716265695397305,37445
UPDATE,1716265695433314,37535
UPDATE,1716265695470609,37425
UPDATE,1716265695470534,37517
UPDATE,1716265695470867,37934
UPDATE,1716265695507170,37606
UPDATE,1716265695508205,38072
UPDATE,1716265695544082,37682
UPDATE,1716265695581297,37706
UPDATE,1716265695581291,37716
UPDATE,1716265695618040,37516
UPDATE,1716265695618101,37642
UPDATE,1716265695618098,37652
UPDATE,1716265695619038,37306
UPDATE,1716265695654826,37417
UPDATE,1716265695655756,37224
UPDATE,1716265695691856,37603
UPDATE,1716265695692262,37554
UPDATE,1716265695728643,37499
UPDATE,1716265695728714,37815
UPDATE,1716265695729835,37263
UPDATE,1716265695765325,37371
UPDATE,1716265695801827,37307
UPDATE,1716265695801944,37368
UPDATE,1716265695802713,37363
UPDATE,1716265695839334,37626
UPDATE,1716265695875646,37457
UPDATE,1716265695912488,37736
UPDATE,1716265695912554,37909
UPDATE,1716265695912515,38037
UPDATE,1716265695913122,37457
UPDATE,1716265695950597,37649
UPDATE,1716265695985985,37436
UPDATE,1716265696022599,37406
UPDATE,1716265696059267,37517
UPDATE,1716265696059281,37537
UPDATE,1716265696096162,37448
UPDATE,1716265696096190,37625
UPDATE,1716265696096837,37735
UPDATE,1716265696096805,37783
UPDATE,1716265696132707,37386
UPDATE,1716265696133825,37401
UPDATE,1716265696134604,37177
UPDATE,1716265696169718,37455
UPDATE,1716265696171236,37306
UPDATE,1716265696206332,37510
UPDATE,1716265696206505,37421
UPDATE,1716265696207184,37223
UPDATE,1716265696208559,37520
UPDATE,1716265696243191,37536
UPDATE,1716265696243284,37675
UPDATE,1716265696243938,37489
UPDATE,1716265696246097,37264
UPDATE,1716265696279963,37467
UPDATE,1716265696283372,37528
UPDATE,1716265696317447,37425
UPDATE,1716265696320918,37490
UPDATE,1716265696354893,37406
UPDATE,1716265696427393,37593
UPDATE,1716265696427391,37748
UPDATE,1716265696427365,37881
UPDATE,1716265696464215,37523
UPDATE,1716265696464254,37712
UPDATE,1716265696464224,37768
UPDATE,1716265696465005,37215
UPDATE,1716265696465154,37360
UPDATE,1716265696501755,37346
UPDATE,1716265696502232,37334
UPDATE,1716265696539129,37445
UPDATE,1716265696539583,37223
UPDATE,1716265696574774,37423
UPDATE,1716265696574702,37797
UPDATE,1716265696611250,37352
UPDATE,1716265696612217,37303
UPDATE,1716265696648180,37382
UPDATE,1716265696648040,37558
UPDATE,1716265696648177,37438
UPDATE,1716265696684779,37524
UPDATE,1716265696685585,37559
UPDATE,1716265696721704,37449
UPDATE,1716265696721741,37581
UPDATE,1716265696722322,37484
UPDATE,1716265696758459,37668
UPDATE,1716265696758399,37758
UPDATE,1716265696759820,37163
UPDATE,1716265696795065,37505
UPDATE,1716265696796172,37269
UPDATE,1716265696833457,37501
UPDATE,1716265696868605,37433
UPDATE,1716265696905607,37560
UPDATE,1716265696905697,37479
UPDATE,1716265696906058,37324
UPDATE,1716265696942398,37506
UPDATE,1716265696942388,38068
UPDATE,1716265696942430,38053
UPDATE,1716265696943196,37691
UPDATE,1716265696943186,38011
UPDATE,1716265696979923,37817
UPDATE,1716265696980468,37616
UPDATE,1716265696980502,37603
UPDATE,1716265696980906,37390
UPDATE,1716265697017761,37633
UPDATE,1716265697018312,37660
UPDATE,1716265697055412,37557
UPDATE,1716265697055897,37228
UPDATE,1716265697055996,37575
UPDATE,1716265697055995,37622
UPDATE,1716265697092776,37735
UPDATE,1716265697093139,37439
UPDATE,1716265697092770,37849
UPDATE,1716265697092983,37667
UPDATE,1716265697093635,37285
UPDATE,1716265697129354,37769
UPDATE,1716265697130591,37474
UPDATE,1716265697166176,37690
UPDATE,1716265697203024,38057
UPDATE,1716265697203047,38065
UPDATE,1716265697203880,37369
UPDATE,1716265697203412,37848
UPDATE,1716265697239811,37797
UPDATE,1716265697240006,37604
UPDATE,1716265697239814,37810
UPDATE,1716265697241126,37454
UPDATE,1716265697241281,37495
UPDATE,1716265697241261,37650
UPDATE,1716265697276498,37341
UPDATE,1716265697277628,37597
UPDATE,1716265697277632,37778
UPDATE,1716265697278925,37251
UPDATE,1716265697313336,37449
UPDATE,1716265697313854,37321
UPDATE,1716265697315252,37551
UPDATE,1716265697350306,37757
UPDATE,1716265697350808,37457
UPDATE,1716265697351193,37594
UPDATE,1716265697387283,37678
UPDATE,1716265697387300,37725
UPDATE,1716265697388801,37597
UPDATE,1716265697424017,37406
UPDATE,1716265697424981,37287
UPDATE,1716265697426417,37168
UPDATE,1716265697460870,37545
UPDATE,1716265697461446,37344
UPDATE,1716265697497853,37417
UPDATE,1716265697497845,37739
UPDATE,1716265697498805,37396
UPDATE,1716265697534784,37431
UPDATE,1716265697535601,37469
UPDATE,1716265697536219,37533
UPDATE,1716265697572234,37399
UPDATE,1716265697573086,37376
UPDATE,1716265697608186,37695
UPDATE,1716265697610477,37522
UPDATE,1716265697644985,37803
UPDATE,1716265697681608,37558
UPDATE,1716265697682805,37514
UPDATE,1716265697718404,37524
UPDATE,1716265697718458,37860
UPDATE,1716265697718437,37909
UPDATE,1716265697719184,37323
UPDATE,1716265697755951,37558
UPDATE,1716265697792346,37867
UPDATE,1716265697792357,37872
UPDATE,1716265697793528,37440
UPDATE,1716265697829476,37586
UPDATE,1716265697830989,37372
UPDATE,1716265697867561,48581
UPDATE,1716265697868381,47822
UPDATE,1716265697908053,38129
UPDATE,1716265697908727,37707
UPDATE,1716265697910576,43312
UPDATE,1716265697941351,37136
UPDATE,1716265697978248,37391
UPDATE,1716265697978133,37507
UPDATE,1716265697978269,37567
UPDATE,1716265697978271,37568
UPDATE,1716265698015066,37551
UPDATE,1716265698015853,37418
UPDATE,1716265698015653,37662
UPDATE,1716265698052028,37895
UPDATE,1716265698052636,37611
UPDATE,1716265698053294,38105
UPDATE,1716265698053334,38067
UPDATE,1716265698090000,38353
UPDATE,1716265698089965,38414
UPDATE,1716265698089124,39356
UPDATE,1716265698090284,38232
UPDATE,1716265698128386,37531
UPDATE,1716265698128535,37677
UPDATE,1716265698128493,37911
UPDATE,1716265698128445,37999
UPDATE,1716265698165939,37559
UPDATE,1716265698166229,37642
UPDATE,1716265698166416,37647
UPDATE,1716265698166471,37594
UPDATE,1716265698201918,37374
UPDATE,1716265698203882,37347
UPDATE,1716265698238753,37723
UPDATE,1716265698238746,37742
UPDATE,1716265698275551,37869
UPDATE,1716265698275596,37912
UPDATE,1716265698276504,37272
UPDATE,1716265698276497,37481
UPDATE,1716265698312466,37487
UPDATE,1716265698312429,37582
UPDATE,1716265698313520,37290
UPDATE,1716265698385864,37766
UPDATE,1716265698385839,37798
UPDATE,1716265698385944,38309
UPDATE,1716265698422692,37860
UPDATE,1716265698422761,37791
UPDATE,1716265698423649,37467
UPDATE,1716265698459264,37238
UPDATE,1716265698460574,37481
UPDATE,1716265698461140,37507
UPDATE,1716265698496107,37395
UPDATE,1716265698496141,37566
UPDATE,1716265698498071,37393
UPDATE,1716265698569838,37752
UPDATE,1716265698607604,37470
UPDATE,1716265698717636,37765
UPDATE,1716265698717694,37714
UPDATE,1716265698717669,38092
UPDATE,1716265698717655,38136
UPDATE,1716265698754609,37630
UPDATE,1716265698754444,37804
UPDATE,1716265698754456,37794
UPDATE,1716265698755436,37386
UPDATE,1716265698792273,37720
UPDATE,1716265698792262,37744
UPDATE,1716265698792845,37661
UPDATE,1716265698829249,37392
UPDATE,1716265698830009,37399
UPDATE,1716265698830023,37538
UPDATE,1716265698866662,37353
UPDATE,1716265698867437,37478
UPDATE,1716265698902197,37641
UPDATE,1716265698902192,38465
UPDATE,1716265698904038,37249
UPDATE,1716265698939096,37404
UPDATE,1716265698939858,37310
UPDATE,1716265698940670,37385
UPDATE,1716265698975884,37542
UPDATE,1716265698976525,37380
UPDATE,1716265698977193,37257
UPDATE,1716265699012646,37370
UPDATE,1716265699049304,37440
UPDATE,1716265699086421,37408
UPDATE,1716265699086765,37452
UPDATE,1716265699123154,37480
UPDATE,1716265699124236,37295
UPDATE,1716265699160164,37397
UPDATE,1716265699160119,37875
UPDATE,1716265699161547,37179
UPDATE,1716265699197093,37543
UPDATE,1716265699197577,37467
UPDATE,1716265699198010,37320
UPDATE,1716265699234178,37484
UPDATE,1716265699234142,37579
UPDATE,1716265699235062,37270
UPDATE,1716265699235350,37394
UPDATE,1716265699270621,37557
UPDATE,1716265699272762,37371
UPDATE,1716265699307254,37591
UPDATE,1716265699307230,37741
UPDATE,1716265699344345,37491
UPDATE,1716265699344263,37574
UPDATE,1716265699417801,37450
UPDATE,1716265699417855,37728
UPDATE,1716265699417809,37801
UPDATE,1716265699417825,37819
UPDATE,1716265699454722,37462
UPDATE,1716265699454661,37622
UPDATE,1716265699455278,37445
UPDATE,1716265699455627,37384
UPDATE,1716265699455603,37430
UPDATE,1716265699492205,37437
UPDATE,1716265699492678,37378
UPDATE,1716265699492736,37489
UPDATE,1716265699493028,37615
UPDATE,1716265699529663,37220
UPDATE,1716265699530244,37552
UPDATE,1716265699566303,37927
UPDATE,1716265699566311,37931
UPDATE,1716265699566904,37360
UPDATE,1716265699604259,37654
UPDATE,1716265699676962,37542
UPDATE,1716265699676997,37542
UPDATE,1716265699677030,37539
UPDATE,1716265699677056,37515
UPDATE,1716265699713719,37351
UPDATE,1716265699713752,37649
UPDATE,1716265699714539,37764
UPDATE,1716265699714592,37715
UPDATE,1716265699751088,37613
UPDATE,1716265699752327,37454
UPDATE,1716265699787219,37471
UPDATE,1716265699787179,37520
UPDATE,1716265699789802,37704
UPDATE,1716265699823959,37288
UPDATE,1716265699823973,37516
UPDATE,1716265699823971,37535
UPDATE,1716265699824721,37288
UPDATE,1716265699860752,37649
UPDATE,1716265699860752,37665
UPDATE,1716265699861529,37343
UPDATE,1716265699897792,37624
UPDATE,1716265699934630,37472
UPDATE,1716265699935432,37252
UPDATE,1716265699971336,37520
UPDATE,1716265699972128,37244
UPDATE,1716265699972700,37419
UPDATE,1716265700009389,37702
UPDATE,1716265700045132,37351
UPDATE,1716265700045108,37579
UPDATE,1716265700045079,37679
UPDATE,1716265700047103,37377
UPDATE,1716265700082429,37757
UPDATE,1716265700082208,37995
UPDATE,1716265700084499,37317
UPDATE,1716265700120221,37467
UPDATE,1716265700120545,37327
UPDATE,1716265700157449,37517
UPDATE,1716265700157524,37490
UPDATE,1716265700157709,37308
UPDATE,1716265700194104,37349
UPDATE,1716265700194985,37363
UPDATE,1716265700195037,37424
UPDATE,1716265700231468,37403
UPDATE,1716265700232373,37520
UPDATE,1716265700268208,37553
UPDATE,1716265700268892,37460
UPDATE,1716265700269916,37213
UPDATE,1716265700304994,37532
UPDATE,1716265700305197,37613
UPDATE,1716265700305781,37363
UPDATE,1716265700342200,37490
UPDATE,1716265700342545,37321
UPDATE,1716265700342830,37313
UPDATE,1716265700378972,37560
UPDATE,1716265700379886,37365
UPDATE,1716265700379710,37561
UPDATE,1716265700415680,37591
UPDATE,1716265700416553,37614
UPDATE,1716265700417269,37190
UPDATE,1716265700417285,37362
UPDATE,1716265700452571,37681
UPDATE,1716265700452581,37908
UPDATE,1716265700452466,38219
UPDATE,1716265700454187,37482
UPDATE,1716265700454668,37396
UPDATE,1716265700490513,44047
UPDATE,1716265700490837,44181
UPDATE,1716265700491692,43335
UPDATE,1716265700534886,37394
UPDATE,1716265700535059,37437
UPDATE,1716265700535029,37727
UPDATE,1716265700535054,37720
UPDATE,1716265700571641,38134
UPDATE,1716265700572304,38310
UPDATE,1716265700572771,37983
UPDATE,1716265700572793,37973
UPDATE,1716265700608283,38657
UPDATE,1716265700610643,38265
UPDATE,1716265700610781,38155
UPDATE,1716265700645053,37432
UPDATE,1716265700645097,37666
UPDATE,1716265700718573,37433
UPDATE,1716265700755329,37466
UPDATE,1716265700756024,37305
UPDATE,1716265700792038,37435
UPDATE,1716265700793350,37432
UPDATE,1716265700828869,37495
UPDATE,1716265700865691,37761
UPDATE,1716265700865675,38035
UPDATE,1716265700866388,37801
UPDATE,1716265700902813,37827
UPDATE,1716265700902848,37819
UPDATE,1716265700902845,37828
UPDATE,1716265700902851,37854
UPDATE,1716265700903473,37445
UPDATE,1716265700939383,37534
UPDATE,1716265700940725,37660
UPDATE,1716265700940944,37456
UPDATE,1716265700940661,37761
UPDATE,1716265700976160,37320
UPDATE,1716265700976935,37631
UPDATE,1716265700978440,37646
UPDATE,1716265701012826,37473
UPDATE,1716265701013501,37346
UPDATE,1716265701016105,37513
UPDATE,1716265701049811,37733
UPDATE,1716265701050867,37180
UPDATE,1716265701053638,37324
UPDATE,1716265701086542,37594
UPDATE,1716265701087567,37445
UPDATE,1716265701088060,37600
UPDATE,1716265701090981,37239
UPDATE,1716265701123271,37600
