Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"threadcount"="8"
"measurementtype"="raw"
"recordcount"="100000"
"readallfields"="true"
"readproportion"="0.5"
"updateproportion"="0.5"
"etcd.dial_timeout"="10s"
"insertproportion"="0"
"requestdistribution"="uniform"
"command"="run"
"docollectingdata"="false"
"etcd.endpoints"="192.168.37.19:2379"
"operationcount"="50000"
"scanproportion"="0"
"dotransactions"="true"
"workload"="core"
**********************************************
**********************************************
Run finished, takes 6m59.782222071s
operation,timestamp_us,latency_us
READ,1716265703087109,88290
READ,1716265703131439,88877
READ,1716265703131306,89048
READ,1716265703130801,89562
READ,1716265703130603,89814
READ,1716265703175411,90022
READ,1716265703221677,88698
READ,1716265703220430,89945
READ,1716265703220366,90052
READ,1716265703220333,90100
READ,1716265703223197,87262
READ,1716265703221468,89020
READ,1716265703265446,89809
READ,1716265703310429,89797
READ,1716265703311255,88984
READ,1716265703310387,89881
READ,1716265703355269,89816
READ,1716265703356048,89087
READ,1716265703401700,88288
READ,1716265703400238,89768
READ,1716265703401281,88746
READ,1716265703400280,89764
READ,1716265703400251,89813
READ,1716265703445147,89710
READ,1716265703447310,87558
READ,1716265703490075,89488
READ,1716265703490018,89565
READ,1716265703490055,89550
READ,1716265703490636,88973
READ,1716265703535752,89304
READ,1716265703579596,89825
READ,1716265703579617,89970
READ,1716265703625533,88639
READ,1716265703625071,89137
READ,1716265703626373,87841
READ,1716265703625193,89034
READ,1716265703671484,87372
READ,1716265703669601,89256
READ,1716265703669437,89652
READ,1716265703714238,89473
READ,1716265703759097,89395
READ,1716265703764243,84268
READ,1716265703805485,87686
READ,1716265703805413,87794
READ,1716265703804454,88837
READ,1716265703848507,89430
READ,1716265703848525,89668
READ,1716265703893186,89532
READ,1716265703894933,87808
READ,1716265703896046,86696
READ,1716265703937950,89793
READ,1716265703940101,87674
READ,1716265703938836,88940
READ,1716265703984213,88354
READ,1716265704027787,89488
READ,1716265704027788,89538
READ,1716265704074096,87917
READ,1716265704073897,88135
READ,1716265704074281,87800
READ,1716265704072581,89512
READ,1716265704119533,87379
READ,1716265704117288,89632
READ,1716265704118613,88458
READ,1716265704117338,89774
READ,1716265704162108,89732
READ,1716265704162095,89847
READ,1716265704207611,89040
READ,1716265704207124,89528
READ,1716265704252650,88723
READ,1716265704298333,88061
READ,1716265704297461,88984
READ,1716265704296672,89836
READ,1716265704298013,88514
READ,1716265704343262,87985
READ,1716265704387755,88941
READ,1716265704386544,90182
READ,1716265704386407,90437
READ,1716265704432682,88152
READ,1716265704432645,88190
READ,1716265704432670,88317
READ,1716265704476871,88691
READ,1716265704476749,88816
READ,1716265704522350,88002
READ,1716265704520851,89556
READ,1716265704566646,88679
READ,1716265704565574,89787
READ,1716265704565579,89816
READ,1716265704615726,84640
READ,1716265704656259,88754
READ,1716265704657988,87057
READ,1716265704656207,88859
READ,1716265704659399,85669
READ,1716265704655408,89700
READ,1716265704700795,88842
READ,1716265704700377,89265
READ,1716265704745082,89313
READ,1716265704745057,89397
READ,1716265704745125,89361
READ,1716265704790676,88512
READ,1716265704837435,86571
READ,1716265704836146,87897
READ,1716265704879201,89485
READ,1716265704881475,87251
READ,1716265704880065,88787
READ,1716265704924059,89572
READ,1716265704924019,89621
READ,1716265704926651,87026
READ,1716265704971508,87082
READ,1716265704971404,87186
READ,1716265705014230,89035
READ,1716265705013653,89629
READ,1716265705060010,87944
READ,1716265705059066,88921
READ,1716265705060056,87958
READ,1716265705058606,89412
READ,1716265705103277,89628
READ,1716265705104049,88874
READ,1716265705149872,87691
READ,1716265705148830,88772
READ,1716265705193794,88657
READ,1716265705193747,88729
READ,1716265705238960,88120
READ,1716265705238700,88434
READ,1716265705237614,89606
READ,1716265705282465,89329
READ,1716265705283216,88651
READ,1716265705283761,88114
READ,1716265705282488,89392
