Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 9999]
***************** properties *****************
"threadcount"="4"
"insertproportion"="0"
"readproportion"="0.5"
"dotransactions"="false"
"docollectingdata"="false"
"readallfields"="true"
"etcd.endpoints"="192.168.37.11:2379"
"operationcount"="1000000"
"updateproportion"="0.5"
"workload"="core"
"measurementtype"="raw"
"command"="load"
"requestdistribution"="uniform"
"scanproportion"="0"
"etcd.dial_timeout"="1s"
"recordcount"="10000"
**********************************************
**********************************************
Run finished, takes 5m36.618769603s
operation,timestamp_us,latency_us
TOTAL,1717481347849666,136753
TOTAL,1717481347802007,184489
TOTAL,1717481347802211,184415
TOTAL,1717481347883218,103427
TOTAL,1717481347986735,146605
TOTAL,1717481347986564,146865
TOTAL,1717481347986694,146757
TOTAL,1717481347986505,147012
TOTAL,1717481348133426,63976
TOTAL,1717481348133517,82338
TOTAL,1717481348133496,82437
TOTAL,1717481348133586,82449
TOTAL,1717481348216000,90417
TOTAL,1717481348197467,109042
TOTAL,1717481348306486,97491
TOTAL,1717481348216101,187896
TOTAL,1717481348215921,188255
TOTAL,1717481348306586,168841
TOTAL,1717481348404059,71568
TOTAL,1717481348404241,93756
TOTAL,1717481348404054,93987
TOTAL,1717481348475698,77706
TOTAL,1717481348553470,149300
TOTAL,1717481348475537,227255
TOTAL,1717481348498061,204797
TOTAL,1717481348498110,204805
TOTAL,1717481348702983,48866
TOTAL,1717481348702865,49023
TOTAL,1717481348751948,110579
TOTAL,1717481348751949,110626
TOTAL,1717481348702838,159787
TOTAL,1717481348702928,159722
TOTAL,1717481348862594,30210
TOTAL,1717481348862690,81767
TOTAL,1717481348862634,81868
TOTAL,1717481348862734,81849
TOTAL,1717481348944566,83968
TOTAL,1717481348892926,135667
TOTAL,1717481348944648,83960
TOTAL,1717481348944524,84122
TOTAL,1717481349028603,79868
TOTAL,1717481349028675,99261
TOTAL,1717481349028715,99233
TOTAL,1717481349028655,99347
TOTAL,1717481349108538,84737
TOTAL,1717481349128005,120584
TOTAL,1717481349128011,145376
TOTAL,1717481349128066,145341
TOTAL,1717481349273476,124348
TOTAL,1717481349273449,124395
TOTAL,1717481349248651,149225
TOTAL,1717481349193344,204578
TOTAL,1717481349397988,72224
TOTAL,1717481349397914,162541
TOTAL,1717481349470312,90152
TOTAL,1717481349397891,162633
TOTAL,1717481349397940,162624
TOTAL,1717481349560559,61586
TOTAL,1717481349560576,83997
TOTAL,1717481349560678,83928
TOTAL,1717481349560614,84037
TOTAL,1717481349644639,106788
TOTAL,1717481349644689,106813
TOTAL,1717481349622213,129396
TOTAL,1717481349644725,106992
TOTAL,1717481349751794,56133
TOTAL,1717481349751491,56631
TOTAL,1717481349751675,96925
TOTAL,1717481349751569,97148
TOTAL,1717481349808218,118961
TOTAL,1717481349808022,119165
TOTAL,1717481349848665,117070
TOTAL,1717481349848781,117004
TOTAL,1717481349927295,94423
TOTAL,1717481349927267,94464
TOTAL,1717481350021800,107271
