Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"etcd.dial_timeout"="1s"
"scanproportion"="0"
"readallfields"="true"
"dotransactions"="true"
"docollectingdata"="false"
"threadcount"="5"
"recordcount"="100000"
"readproportion"="0.95"
"requestdistribution"="latest"
"updateproportion"="0"
"operationcount"="50000"
"command"="run"
"etcd.endpoints"="192.168.37.12:2379"
"insertproportion"="0.05"
"workload"="core"
**********************************************
READ_ERROR - Takes(s): 130.0, Count: 4746, OPS: 36.5, Avg(us): 59159, Min(us): 26528, Max(us): 83455, 50th(us): 58847, 90th(us): 67199, 95th(us): 69759, 99th(us): 74623, 99.9th(us): 80319, 99.99th(us): 83455
TOTAL  - Takes(s): 129.9, Count: 6486, OPS: 49.9, Avg(us): 56908, Min(us): 23008, Max(us): 86463, 50th(us): 58111, 90th(us): 66687, 95th(us): 69247, 99th(us): 74751, 99.9th(us): 81663, 99.99th(us): 85951
INSERT - Takes(s): 139.6, Count: 609, OPS: 4.4, Avg(us): 32758, Min(us): 23008, Max(us): 58783, 50th(us): 31439, 90th(us): 39775, 95th(us): 42879, 99th(us): 47199, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 139.9, Count: 6476, OPS: 46.3, Avg(us): 58912, Min(us): 26224, Max(us): 86463, 50th(us): 58495, 90th(us): 66687, 95th(us): 69247, 99th(us): 74751, 99.9th(us): 81663, 99.99th(us): 85951
READ_ERROR - Takes(s): 140.0, Count: 5055, OPS: 36.1, Avg(us): 59002, Min(us): 26528, Max(us): 83455, 50th(us): 58623, 90th(us): 67007, 95th(us): 69631, 99th(us): 74559, 99.9th(us): 80319, 99.99th(us): 82239
TOTAL  - Takes(s): 139.9, Count: 7085, OPS: 50.6, Avg(us): 56664, Min(us): 23008, Max(us): 86463, 50th(us): 57951, 90th(us): 66367, 95th(us): 68799, 99th(us): 74367, 99.9th(us): 81279, 99.99th(us): 85951
INSERT - Takes(s): 149.6, Count: 659, OPS: 4.4, Avg(us): 32517, Min(us): 23008, Max(us): 58783, 50th(us): 31279, 90th(us): 39487, 95th(us): 42623, 99th(us): 46975, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 149.9, Count: 7061, OPS: 47.1, Avg(us): 58690, Min(us): 26224, Max(us): 86463, 50th(us): 58271, 90th(us): 66367, 95th(us): 68863, 99th(us): 74367, 99.9th(us): 81279, 99.99th(us): 85951
READ_ERROR - Takes(s): 150.0, Count: 5335, OPS: 35.6, Avg(us): 58840, Min(us): 26528, Max(us): 83455, 50th(us): 58463, 90th(us): 66815, 95th(us): 69503, 99th(us): 74431, 99.9th(us): 80319, 99.99th(us): 82239
TOTAL  - Takes(s): 149.9, Count: 7720, OPS: 51.5, Avg(us): 56456, Min(us): 23008, Max(us): 86463, 50th(us): 57695, 90th(us): 66047, 95th(us): 68543, 99th(us): 73919, 99.9th(us): 80639, 99.99th(us): 85951
INSERT - Takes(s): 159.6, Count: 703, OPS: 4.4, Avg(us): 32344, Min(us): 23008, Max(us): 58783, 50th(us): 31087, 90th(us): 39167, 95th(us): 42591, 99th(us): 46975, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 159.9, Count: 7642, OPS: 47.8, Avg(us): 58464, Min(us): 26224, Max(us): 86463, 50th(us): 58047, 90th(us): 66047, 95th(us): 68543, 99th(us): 74047, 99.9th(us): 80639, 99.99th(us): 85951
READ_ERROR - Takes(s): 160.0, Count: 5627, OPS: 35.2, Avg(us): 58690, Min(us): 26528, Max(us): 83455, 50th(us): 58271, 90th(us): 66623, 95th(us): 69375, 99th(us): 74239, 99.9th(us): 79295, 99.99th(us): 82239
TOTAL  - Takes(s): 159.9, Count: 8345, OPS: 52.2, Avg(us): 56263, Min(us): 23008, Max(us): 86463, 50th(us): 57471, 90th(us): 65663, 95th(us): 68287, 99th(us): 73727, 99.9th(us): 80639, 99.99th(us): 85951
INSERT - Takes(s): 169.6, Count: 756, OPS: 4.5, Avg(us): 32136, Min(us): 23008, Max(us): 58783, 50th(us): 30975, 90th(us): 38783, 95th(us): 42367, 99th(us): 46431, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 169.9, Count: 8248, OPS: 48.5, Avg(us): 58272, Min(us): 26224, Max(us): 86463, 50th(us): 57887, 90th(us): 65727, 95th(us): 68351, 99th(us): 73855, 99.9th(us): 80639, 99.99th(us): 85951
READ_ERROR - Takes(s): 170.0, Count: 5890, OPS: 34.7, Avg(us): 58551, Min(us): 24432, Max(us): 83455, 50th(us): 58175, 90th(us): 66431, 95th(us): 69183, 99th(us): 74047, 99.9th(us): 79295, 99.99th(us): 82239
TOTAL  - Takes(s): 169.9, Count: 9004, OPS: 53.0, Avg(us): 56078, Min(us): 23008, Max(us): 86463, 50th(us): 57343, 90th(us): 65279, 95th(us): 68095, 99th(us): 73599, 99.9th(us): 80575, 99.99th(us): 85951
INSERT - Takes(s): 179.6, Count: 800, OPS: 4.5, Avg(us): 31962, Min(us): 23008, Max(us): 58783, 50th(us): 30895, 90th(us): 38527, 95th(us): 42207, 99th(us): 46431, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 179.9, Count: 8817, OPS: 49.0, Avg(us): 58079, Min(us): 26224, Max(us): 86463, 50th(us): 57727, 90th(us): 65407, 95th(us): 68159, 99th(us): 73599, 99.9th(us): 80575, 99.99th(us): 85951
READ_ERROR - Takes(s): 180.0, Count: 6199, OPS: 34.4, Avg(us): 58412, Min(us): 24432, Max(us): 83455, 50th(us): 58047, 90th(us): 66111, 95th(us): 69055, 99th(us): 73919, 99.9th(us): 79295, 99.99th(us): 82239
TOTAL  - Takes(s): 179.9, Count: 9617, OPS: 53.5, Avg(us): 55906, Min(us): 23008, Max(us): 86463, 50th(us): 57183, 90th(us): 64927, 95th(us): 67775, 99th(us): 73407, 99.9th(us): 80319, 99.99th(us): 85951
INSERT - Takes(s): 189.6, Count: 850, OPS: 4.5, Avg(us): 31803, Min(us): 23008, Max(us): 58783, 50th(us): 30815, 90th(us): 38335, 95th(us): 41855, 99th(us): 46431, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 189.9, Count: 9404, OPS: 49.5, Avg(us): 57936, Min(us): 24544, Max(us): 86463, 50th(us): 57631, 90th(us): 65055, 95th(us): 67903, 99th(us): 73535, 99.9th(us): 80575, 99.99th(us): 85951
READ_ERROR - Takes(s): 190.0, Count: 6484, OPS: 34.1, Avg(us): 58284, Min(us): 24432, Max(us): 83455, 50th(us): 57919, 90th(us): 65983, 95th(us): 68863, 99th(us): 73919, 99.9th(us): 79295, 99.99th(us): 82239
TOTAL  - Takes(s): 189.9, Count: 10254, OPS: 54.0, Avg(us): 55770, Min(us): 23008, Max(us): 86463, 50th(us): 57087, 90th(us): 64575, 95th(us): 67583, 99th(us): 73151, 99.9th(us): 80319, 99.99th(us): 85951
INSERT - Takes(s): 199.6, Count: 888, OPS: 4.4, Avg(us): 31712, Min(us): 23008, Max(us): 58783, 50th(us): 30767, 90th(us): 38143, 95th(us): 41823, 99th(us): 46271, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 199.9, Count: 9975, OPS: 49.9, Avg(us): 57840, Min(us): 24544, Max(us): 86463, 50th(us): 57567, 90th(us): 64767, 95th(us): 67647, 99th(us): 73151, 99.9th(us): 80319, 99.99th(us): 85951
READ_ERROR - Takes(s): 200.0, Count: 6780, OPS: 33.9, Avg(us): 58200, Min(us): 24432, Max(us): 83455, 50th(us): 57759, 90th(us): 65791, 95th(us): 68607, 99th(us): 73791, 99.9th(us): 78783, 99.99th(us): 82239
TOTAL  - Takes(s): 199.9, Count: 10863, OPS: 54.3, Avg(us): 55704, Min(us): 23008, Max(us): 86463, 50th(us): 57023, 90th(us): 64255, 95th(us): 67391, 99th(us): 72959, 99.9th(us): 80255, 99.99th(us): 85951
INSERT - Takes(s): 209.6, Count: 944, OPS: 4.5, Avg(us): 31586, Min(us): 23008, Max(us): 58783, 50th(us): 30671, 90th(us): 37887, 95th(us): 41535, 99th(us): 46271, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 209.9, Count: 10567, OPS: 50.3, Avg(us): 57714, Min(us): 24544, Max(us): 86463, 50th(us): 57439, 90th(us): 64447, 95th(us): 67519, 99th(us): 72959, 99.9th(us): 80255, 99.99th(us): 85951
READ_ERROR - Takes(s): 210.0, Count: 7060, OPS: 33.6, Avg(us): 58084, Min(us): 24432, Max(us): 83455, 50th(us): 57663, 90th(us): 65535, 95th(us): 68479, 99th(us): 73791, 99.9th(us): 78783, 99.99th(us): 82239
TOTAL  - Takes(s): 209.9, Count: 11511, OPS: 54.8, Avg(us): 55571, Min(us): 23008, Max(us): 86463, 50th(us): 56927, 90th(us): 63999, 95th(us): 67071, 99th(us): 72831, 99.9th(us): 80127, 99.99th(us): 85951
INSERT - Takes(s): 219.6, Count: 977, OPS: 4.4, Avg(us): 31516, Min(us): 23008, Max(us): 58783, 50th(us): 30623, 90th(us): 37631, 95th(us): 40895, 99th(us): 45983, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 219.9, Count: 11170, OPS: 50.8, Avg(us): 57632, Min(us): 24544, Max(us): 86463, 50th(us): 57375, 90th(us): 64127, 95th(us): 67199, 99th(us): 72895, 99.9th(us): 80255, 99.99th(us): 85951
READ_ERROR - Takes(s): 220.0, Count: 7331, OPS: 33.3, Avg(us): 58000, Min(us): 24432, Max(us): 83455, 50th(us): 57567, 90th(us): 65407, 95th(us): 68351, 99th(us): 73727, 99.9th(us): 78783, 99.99th(us): 82239
TOTAL  - Takes(s): 219.9, Count: 12147, OPS: 55.2, Avg(us): 55532, Min(us): 23008, Max(us): 86463, 50th(us): 56863, 90th(us): 63839, 95th(us): 66879, 99th(us): 72703, 99.9th(us): 80127, 99.99th(us): 85951
INSERT - Takes(s): 229.6, Count: 1025, OPS: 4.5, Avg(us): 31414, Min(us): 23008, Max(us): 58783, 50th(us): 30591, 90th(us): 37503, 95th(us): 40639, 99th(us): 45983, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 229.9, Count: 11774, OPS: 51.2, Avg(us): 57528, Min(us): 24544, Max(us): 86463, 50th(us): 57279, 90th(us): 63935, 95th(us): 67007, 99th(us): 72767, 99.9th(us): 80127, 99.99th(us): 85951
READ_ERROR - Takes(s): 230.0, Count: 7601, OPS: 33.1, Avg(us): 57914, Min(us): 24432, Max(us): 83455, 50th(us): 57503, 90th(us): 65279, 95th(us): 68159, 99th(us): 73663, 99.9th(us): 78463, 99.99th(us): 82239
TOTAL  - Takes(s): 229.9, Count: 12799, OPS: 55.7, Avg(us): 55437, Min(us): 23008, Max(us): 86463, 50th(us): 56767, 90th(us): 63647, 95th(us): 66751, 99th(us): 72511, 99.9th(us): 79935, 99.99th(us): 85951
INSERT - Takes(s): 239.6, Count: 1064, OPS: 4.4, Avg(us): 31344, Min(us): 23008, Max(us): 58783, 50th(us): 30527, 90th(us): 37407, 95th(us): 40479, 99th(us): 45471, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 239.9, Count: 12386, OPS: 51.6, Avg(us): 57442, Min(us): 24544, Max(us): 86463, 50th(us): 57215, 90th(us): 63775, 95th(us): 66815, 99th(us): 72639, 99.9th(us): 80127, 99.99th(us): 85951
READ_ERROR - Takes(s): 240.0, Count: 7864, OPS: 32.8, Avg(us): 57833, Min(us): 24432, Max(us): 83455, 50th(us): 57439, 90th(us): 65119, 95th(us): 67967, 99th(us): 73599, 99.9th(us): 78463, 99.99th(us): 82239
TOTAL  - Takes(s): 239.9, Count: 13450, OPS: 56.1, Avg(us): 55378, Min(us): 23008, Max(us): 86463, 50th(us): 56735, 90th(us): 63423, 95th(us): 66559, 99th(us): 72383, 99.9th(us): 79935, 99.99th(us): 85951
INSERT - Takes(s): 249.6, Count: 1110, OPS: 4.4, Avg(us): 31255, Min(us): 23008, Max(us): 58783, 50th(us): 30479, 90th(us): 37151, 95th(us): 40383, 99th(us): 45471, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 249.9, Count: 12998, OPS: 52.0, Avg(us): 57366, Min(us): 24544, Max(us): 86463, 50th(us): 57151, 90th(us): 63615, 95th(us): 66687, 99th(us): 72447, 99.9th(us): 79935, 99.99th(us): 85951
READ_ERROR - Takes(s): 250.0, Count: 8125, OPS: 32.5, Avg(us): 57756, Min(us): 24432, Max(us): 83455, 50th(us): 57375, 90th(us): 64927, 95th(us): 67839, 99th(us): 73599, 99.9th(us): 78463, 99.99th(us): 82239
TOTAL  - Takes(s): 249.9, Count: 14108, OPS: 56.5, Avg(us): 55312, Min(us): 23008, Max(us): 86463, 50th(us): 56671, 90th(us): 63231, 95th(us): 66367, 99th(us): 72127, 99.9th(us): 79679, 99.99th(us): 85951
INSERT - Takes(s): 259.6, Count: 1145, OPS: 4.4, Avg(us): 31203, Min(us): 23008, Max(us): 58783, 50th(us): 30463, 90th(us): 37023, 95th(us): 40095, 99th(us): 45471, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 259.9, Count: 13599, OPS: 52.3, Avg(us): 57321, Min(us): 24544, Max(us): 86463, 50th(us): 57151, 90th(us): 63423, 95th(us): 66495, 99th(us): 72319, 99.9th(us): 79679, 99.99th(us): 85951
READ_ERROR - Takes(s): 260.0, Count: 8393, OPS: 32.3, Avg(us): 57707, Min(us): 24432, Max(us): 83455, 50th(us): 57311, 90th(us): 64703, 95th(us): 67775, 99th(us): 73407, 99.9th(us): 78463, 99.99th(us): 82239
TOTAL  - Takes(s): 259.9, Count: 14744, OPS: 56.7, Avg(us): 55293, Min(us): 23008, Max(us): 86463, 50th(us): 56639, 90th(us): 63103, 95th(us): 66175, 99th(us): 71999, 99.9th(us): 79679, 99.99th(us): 85951
INSERT - Takes(s): 269.6, Count: 1191, OPS: 4.4, Avg(us): 31134, Min(us): 23008, Max(us): 58783, 50th(us): 30399, 90th(us): 36831, 95th(us): 39967, 99th(us): 45279, 99.9th(us): 53823, 99.99th(us): 58783
