Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"recordcount"="100000"
"dotransactions"="true"
"etcd.dial_timeout"="1s"
"scanproportion"="0"
"readallfields"="true"
"command"="run"
"workload"="core"
"updateproportion"="0"
"docollectingdata"="false"
"operationcount"="50000"
"readproportion"="0.95"
"insertproportion"="0.05"
"etcd.endpoints"="192.168.37.13:2379"
"requestdistribution"="latest"
"threadcount"="5"
**********************************************
READ   - Takes(s): 89.3, Count: 857, OPS: 9.6, Avg(us): 213841, Min(us): 104256, Max(us): 262015, 50th(us): 214143, 90th(us): 230655, 95th(us): 236927, 99th(us): 245247, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 89.9, Count: 1192, OPS: 13.3, Avg(us): 214747, Min(us): 105088, Max(us): 262399, 50th(us): 214783, 90th(us): 230271, 95th(us): 237183, 99th(us): 246655, 99.9th(us): 258559, 99.99th(us): 262399
TOTAL  - Takes(s): 89.6, Count: 941, OPS: 10.5, Avg(us): 205777, Min(us): 99136, Max(us): 262015, 50th(us): 212863, 90th(us): 229375, 95th(us): 236799, 99th(us): 245247, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 99.6, Count: 93, OPS: 0.9, Avg(us): 121753, Min(us): 98880, Max(us): 168319, 50th(us): 114815, 90th(us): 147967, 95th(us): 157055, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 99.3, Count: 987, OPS: 9.9, Avg(us): 212910, Min(us): 100672, Max(us): 262015, 50th(us): 213119, 90th(us): 228991, 95th(us): 236287, 99th(us): 244991, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 99.9, Count: 1298, OPS: 13.0, Avg(us): 214110, Min(us): 104640, Max(us): 262399, 50th(us): 213887, 90th(us): 229759, 95th(us): 237055, 99th(us): 245887, 99.9th(us): 258559, 99.99th(us): 262399
TOTAL  - Takes(s): 99.6, Count: 1080, OPS: 10.8, Avg(us): 205060, Min(us): 98880, Max(us): 262015, 50th(us): 211967, 90th(us): 228351, 95th(us): 236031, 99th(us): 244607, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 109.6, Count: 105, OPS: 1.0, Avg(us): 119816, Min(us): 98880, Max(us): 168319, 50th(us): 113535, 90th(us): 147711, 95th(us): 157055, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 109.3, Count: 1112, OPS: 10.2, Avg(us): 211866, Min(us): 100672, Max(us): 262015, 50th(us): 211967, 90th(us): 228095, 95th(us): 235903, 99th(us): 244607, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 109.9, Count: 1412, OPS: 12.8, Avg(us): 213281, Min(us): 102208, Max(us): 262399, 50th(us): 213375, 90th(us): 229247, 95th(us): 236415, 99th(us): 245503, 99.9th(us): 258559, 99.99th(us): 262399
TOTAL  - Takes(s): 109.6, Count: 1217, OPS: 11.1, Avg(us): 203924, Min(us): 98880, Max(us): 262015, 50th(us): 211071, 90th(us): 227327, 95th(us): 235007, 99th(us): 244479, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 119.6, Count: 114, OPS: 1.0, Avg(us): 119148, Min(us): 98880, Max(us): 168319, 50th(us): 112703, 90th(us): 147199, 95th(us): 154495, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 119.3, Count: 1233, OPS: 10.3, Avg(us): 211160, Min(us): 100672, Max(us): 262015, 50th(us): 211455, 90th(us): 227327, 95th(us): 235007, 99th(us): 244479, 99.9th(us): 253567, 99.99th(us): 262015
