Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"requestdistribution"="latest"
"readallfields"="true"
"command"="run"
"threadcount"="5"
"insertproportion"="0.05"
"readproportion"="0.95"
"etcd.dial_timeout"="1s"
"operationcount"="50000"
"dotransactions"="true"
"etcd.endpoints"="192.168.37.11:2379"
"updateproportion"="0"
"workload"="core"
"recordcount"="100000"
"scanproportion"="0"
"docollectingdata"="false"
**********************************************
TOTAL  - Takes(s): 89.9, Count: 1856, OPS: 20.7, Avg(us): 119029, Min(us): 55104, Max(us): 152703, 50th(us): 123007, 90th(us): 133759, 95th(us): 137087, 99th(us): 142591, 99.9th(us): 149759, 99.99th(us): 152703
INSERT - Takes(s): 99.8, Count: 211, OPS: 2.1, Avg(us): 75002, Min(us): 53344, Max(us): 120831, 50th(us): 67967, 90th(us): 97087, 95th(us): 100991, 99th(us): 110207, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 99.9, Count: 1902, OPS: 19.0, Avg(us): 123433, Min(us): 54496, Max(us): 152703, 50th(us): 123775, 90th(us): 133759, 95th(us): 136959, 99th(us): 142591, 99.9th(us): 149759, 99.99th(us): 152703
READ_ERROR - Takes(s): 99.9, Count: 2028, OPS: 20.3, Avg(us): 122900, Min(us): 55136, Max(us): 159359, 50th(us): 123583, 90th(us): 133247, 95th(us): 136575, 99th(us): 141183, 99.9th(us): 159359, 99.99th(us): 159359
TOTAL  - Takes(s): 99.9, Count: 2113, OPS: 21.2, Avg(us): 118596, Min(us): 53344, Max(us): 152703, 50th(us): 122815, 90th(us): 133247, 95th(us): 136703, 99th(us): 142463, 99.9th(us): 149759, 99.99th(us): 152703
INSERT - Takes(s): 109.8, Count: 238, OPS: 2.2, Avg(us): 73668, Min(us): 53344, Max(us): 120831, 50th(us): 67327, 90th(us): 95807, 95th(us): 100863, 99th(us): 110207, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 109.9, Count: 2127, OPS: 19.4, Avg(us): 122992, Min(us): 54496, Max(us): 152703, 50th(us): 123263, 90th(us): 133247, 95th(us): 136703, 99th(us): 142463, 99.9th(us): 149759, 99.99th(us): 152703
READ_ERROR - Takes(s): 109.9, Count: 2208, OPS: 20.1, Avg(us): 122520, Min(us): 55136, Max(us): 159359, 50th(us): 123007, 90th(us): 132863, 95th(us): 136191, 99th(us): 140927, 99.9th(us): 159359, 99.99th(us): 159359
TOTAL  - Takes(s): 109.9, Count: 2365, OPS: 21.5, Avg(us): 118028, Min(us): 53344, Max(us): 152703, 50th(us): 122239, 90th(us): 132735, 95th(us): 135935, 99th(us): 142079, 99.9th(us): 149759, 99.99th(us): 152703
INSERT - Takes(s): 119.8, Count: 256, OPS: 2.1, Avg(us): 72839, Min(us): 53344, Max(us): 120831, 50th(us): 66623, 90th(us): 95039, 95th(us): 100671, 99th(us): 109759, 99.9th(us): 120831, 99.99th(us): 120831
